product_id,brand,category,price,quantity_sold,total_revenue
P1000,BrandC,Clothing,190.4,51,9710.4
P1001,BrandB,Clothing,475.6,7,3329.2
P1002,BrandD,Toys,367.34,21,7714.14
P1003,BrandD,Home,301.34,73,21997.82
P1004,BrandB,Clothing,82.23,39,3206.97
P1005,BrandC,Toys,82.22,18,1479.96
P1006,BrandB,Home,33.75,4,135.0
P1007,BrandD,Home,433.76,89,38604.64
P1008,BrandB,Electronics,302.55,60,18153.0
P1009,BrandC,Toys,355.5,14,4977.0
P1010,BrandC,Electronics,15.19,9,136.71
P1011,BrandA,Clothing,485.11,90,43659.9
P1012,BrandB,Toys,417.06,53,22104.18
P1013,BrandD,Clothing,110.11,2,220.22
P1014,BrandD,Toys,95.0,84,7980.0
P1015,BrandD,Home,95.79,92,8812.68
P1016,BrandB,Toys,155.6,60,9336.0
P1017,BrandA,Toys,264.75,71,18797.25
P1018,BrandB,Clothing,218.81,44,9627.64
P1019,BrandC,Electronics,149.16,8,1193.28
P1020,BrandB,Toys,307.87,47,14469.89
P1021,BrandA,Toys,74.05,35,2591.75
P1022,BrandA,Toys,149.61,78,11669.58
P1023,BrandB,Home,186.35,81,15094.35
P1024,BrandD,Electronics,230.75,36,8307.0
P1025,BrandC,Electronics,393.66,50,19683.0
P1026,BrandC,Toys,103.84,4,415.36
P1027,BrandB,Clothing,259.55,2,519.1
P1028,BrandA,Electronics,298.25,6,1789.5
P1029,BrandD,Toys,27.99,54,1511.46
